Date,Line,Shift,Units_Produced,Defect_Rate,Downtime_Minutes,Temperature_C,Humidity_%
2024-01-01,A,Morning,482,2.96,32,24.6,54
2024-01-01,A,Afternoon,508,2.73,58,23.8,61
2024-01-01,A,Night,481,4.2,30,26.8,58
2024-01-01,B,Morning,496,1.84,52,29.0,58
2024-01-01,B,Afternoon,438,1.77,74,30.0,51
2024-01-01,B,Night,436,2.06,37,28.5,71
2024-01-02,A,Morning,467,3.54,37,22.0,63
2024-01-02,A,Afternoon,519,2.95,38,26.1,56
2024-01-02,A,Night,469,4.49,47,26.6,57
2024-01-02,B,Morning,477,1.77,41,27.2,56
2024-01-02,B,Afternoon,485,2.2,58,28.0,62
2024-01-02,B,Night,480,2.16,46,23.5,60
2024-01-03,A,Morning,495,2.57,31,26.8,68
2024-01-03,A,Afternoon,549,3.03,34,26.6,55
2024-01-03,A,Night,532,5.05,41,23.6,54
2024-01-03,B,Morning,480,1.78,60,26.5,58
2024-01-03,B,Afternoon,467,1.65,58,22.8,66
2024-01-03,B,Night,450,1.67,36,27.5,60
2024-01-04,A,Morning,508,2.61,35,26.5,61
2024-01-04,A,Afternoon,532,3.15,24,28.4,66
2024-01-04,A,Night,501,4.99,25,27.1,52
2024-01-04,B,Morning,447,1.95,46,25.2,63
2024-01-04,B,Afternoon,479,2.04,58,27.5,57
2024-01-04,B,Night,482,2.39,62,24.9,61
2024-01-05,A,Morning,550,2.9,37,26.8,58
2024-01-05,A,Afternoon,503,4.22,43,30.0,56
2024-01-05,A,Night,457,6.55,56,29.3,65
2024-01-05,B,Morning,513,1.97,33,24.8,55
2024-01-05,B,Afternoon,484,2.02,63,26.7,72
2024-01-05,B,Night,466,1.96,29,25.4,63
2024-01-06,A,Morning,547,3.1,45,30.0,50
2024-01-06,A,Afternoon,504,3.95,40,25.7,60
2024-01-06,A,Night,494,5.4,38,23.4,58
2024-01-06,B,Morning,459,1.97,45,26.8,53
2024-01-06,B,Afternoon,478,2.08,47,27.2,62
2024-01-06,B,Night,463,1.59,41,28.2,61
2024-01-07,A,Morning,515,2.69,28,27.1,49
2024-01-07,A,Afternoon,502,3.08,23,25.3,51
2024-01-07,A,Night,521,4.62,37,27.9,55
2024-01-07,B,Morning,490,1.8,41,29.8,62
2024-01-07,B,Afternoon,441,1.73,74,28.3,51
2024-01-07,B,Night,510,1.81,43,26.6,54
2024-01-08,A,Morning,522,1.9,51,25.6,57
2024-01-08,A,Afternoon,499,3.57,52,28.8,61
2024-01-08,A,Night,526,5.54,21,26.9,55
2024-01-08,B,Morning,420,2.55,47,27.5,59
2024-01-08,B,Afternoon,484,1.66,51,23.1,61
2024-01-08,B,Night,484,1.72,48,24.6,59
2024-01-09,A,Morning,503,2.73,47,26.1,61
2024-01-09,A,Afternoon,538,3.82,18,28.3,58
2024-01-09,A,Night,479,6.09,41,28.9,57
2024-01-09,B,Morning,456,2.0,55,27.4,58
2024-01-09,B,Afternoon,480,1.58,71,27.5,61
2024-01-09,B,Night,453,1.71,44,24.2,60
2024-01-10,A,Morning,566,3.87,12,30.3,65
2024-01-10,A,Afternoon,453,3.13,59,26.2,56
2024-01-10,A,Night,540,5.8,48,26.0,63
2024-01-10,B,Morning,466,1.55,61,24.9,68
2024-01-10,B,Afternoon,466,2.03,74,27.9,56
2024-01-10,B,Night,484,2.39,41,26.9,57
2024-01-11,A,Morning,509,3.03,33,21.9,63
2024-01-11,A,Afternoon,520,2.5,32,25.8,65
2024-01-11,A,Night,474,4.71,45,25.8,59
2024-01-11,B,Morning,476,2.45,48,24.9,59
2024-01-11,B,Afternoon,503,2.47,54,26.5,60
2024-01-11,B,Night,503,1.77,32,29.0,66
2024-01-12,A,Morning,586,4.09,43,29.3,56
2024-01-12,A,Afternoon,538,3.55,40,26.4,60
2024-01-12,A,Night,533,4.62,51,25.1,70
2024-01-12,B,Morning,468,1.84,50,25.9,63
2024-01-12,B,Afternoon,493,2.52,58,25.0,67
2024-01-12,B,Night,430,1.46,52,26.1,61
2024-01-13,A,Morning,461,2.49,44,25.7,48
2024-01-13,A,Afternoon,522,3.67,27,23.6,65
2024-01-13,A,Night,463,6.99,20,30.1,62
2024-01-13,B,Morning,432,2.66,40,28.3,54
2024-01-13,B,Afternoon,499,2.14,56,28.5,57
2024-01-13,B,Night,486,1.62,35,25.0,57
2024-01-14,A,Morning,494,3.88,37,28.3,60
2024-01-14,A,Afternoon,547,3.24,36,26.0,51
2024-01-14,A,Night,486,6.93,53,32.1,60
2024-01-14,B,Morning,505,1.71,58,26.9,62
2024-01-14,B,Afternoon,484,1.74,50,25.9,52
2024-01-14,B,Night,452,2.17,33,27.3,60
2024-01-15,A,Morning,536,3.19,46,29.3,55
2024-01-15,A,Afternoon,521,3.16,41,28.3,66
2024-01-15,A,Night,471,3.77,39,26.7,59
2024-01-15,B,Morning,468,2.0,43,24.2,60
2024-01-15,B,Afternoon,470,1.77,74,22.7,59
2024-01-15,B,Night,461,1.98,47,28.5,56
2024-01-16,A,Morning,537,3.19,39,28.6,62
2024-01-16,A,Afternoon,513,3.13,41,27.0,62
2024-01-16,A,Night,503,5.08,26,28.0,59
2024-01-16,B,Morning,473,2.0,59,24.5,58
2024-01-16,B,Afternoon,476,2.2,58,29.8,62
2024-01-16,B,Night,484,2.42,44,30.9,63
2024-01-17,A,Morning,494,3.25,19,23.7,56
2024-01-17,A,Afternoon,480,2.66,31,26.4,60
2024-01-17,A,Night,536,6.55,37,30.2,61
2024-01-17,B,Morning,451,2.14,23,28.3,64
2024-01-17,B,Afternoon,473,2.2,64,23.3,64
2024-01-17,B,Night,453,1.67,28,29.3,61
2024-01-18,A,Morning,523,3.64,39,31.5,61
2024-01-18,A,Afternoon,507,2.95,23,26.9,59
2024-01-18,A,Night,507,5.37,40,26.2,63
2024-01-18,B,Morning,488,2.3,35,29.0,58
2024-01-18,B,Afternoon,414,2.63,56,27.3,62
2024-01-18,B,Night,464,1.87,44,25.4,57
2024-01-19,A,Morning,586,3.68,26,27.9,53
2024-01-19,A,Afternoon,529,3.74,39,31.0,68
2024-01-19,A,Night,471,5.27,52,28.0,49
2024-01-19,B,Morning,474,1.9,44,27.9,57
2024-01-19,B,Afternoon,459,2.5,64,28.1,49
2024-01-19,B,Night,485,2.26,46,27.4,50
2024-01-20,A,Morning,515,3.61,36,22.8,56
2024-01-20,A,Afternoon,504,4.26,33,30.0,51
2024-01-20,A,Night,514,6.34,47,28.1,64
2024-01-20,B,Morning,443,1.84,55,26.1,56
2024-01-20,B,Afternoon,483,2.35,45,29.0,52
2024-01-20,B,Night,489,1.94,45,26.4,53
2024-01-21,A,Morning,509,2.91,35,26.8,62
2024-01-21,A,Afternoon,515,2.19,47,27.2,58
2024-01-21,A,Night,536,5.0,30,27.5,61
2024-01-21,B,Morning,467,1.45,50,25.1,63
2024-01-21,B,Afternoon,519,1.77,66,22.1,59
2024-01-21,B,Night,456,1.56,49,26.2,59
2024-01-22,A,Morning,500,2.83,45,26.5,70
2024-01-22,A,Afternoon,544,3.05,38,25.6,62
2024-01-22,A,Night,478,5.01,32,27.3,63
2024-01-22,B,Morning,456,2.2,58,24.1,52
2024-01-22,B,Afternoon,492,2.44,62,27.1,55
2024-01-22,B,Night,459,1.95,34,27.8,67
2024-01-23,A,Morning,508,3.43,38,24.6,53
2024-01-23,A,Afternoon,510,3.35,40,25.5,66
2024-01-23,A,Night,527,6.34,35,29.7,60
2024-01-23,B,Morning,500,1.67,47,29.0,51
2024-01-23,B,Afternoon,460,1.36,64,29.9,73
2024-01-23,B,Night,451,2.13,34,27.9,63
2024-01-24,A,Morning,472,2.43,40,25.1,60
2024-01-24,A,Afternoon,479,2.53,42,22.3,55
2024-01-24,A,Night,434,6.85,19,28.4,56
2024-01-24,B,Morning,544,2.2,47,27.9,65
2024-01-24,B,Afternoon,465,1.64,64,26.9,63
2024-01-24,B,Night,457,2.2,43,29.4,53
2024-01-25,A,Morning,504,2.79,32,25.2,66
2024-01-25,A,Afternoon,529,3.19,30,26.5,54
2024-01-25,A,Night,476,5.14,40,21.2,60
2024-01-25,B,Morning,479,2.37,55,25.7,54
2024-01-25,B,Afternoon,518,1.97,49,26.1,56
2024-01-25,B,Night,462,1.68,34,25.3,51
2024-01-26,A,Morning,528,2.18,35,25.9,47
2024-01-26,A,Afternoon,518,3.52,41,31.4,63
2024-01-26,A,Night,460,2.93,44,27.6,60
2024-01-26,B,Morning,498,1.93,62,26.0,67
2024-01-26,B,Afternoon,492,1.79,62,26.0,56
2024-01-26,B,Night,477,1.91,51,26.1,63
