TV,SNS,poster,sales
44.5,90.45,45.1,10.4
17.2,125.06,69.3,9.3
180.8,159.18,58.4,12.9
8.7,63.16,75,7.2
57.5,129.5,23.5,11.8
8.6,49.49,1,4.8
199.8,126.53,21.2,10.6
214.7,210.31,4,17.4
23.8,74.6,65.9,9.2
97.5,75.81,7.2,9.7
204.1,230.99,46,19
67.8,133.1,114,12.5
281.4,285.58,55.8,24.4
69.2,91.69,18.3,11.3
218.4,194.42,53.4,18
237.4,152.01,23.5,12.5
262.9,114.23,19.5,12
142.9,194.17,12.6,15
240.1,201.19,22.9,15.9
248.8,177.15,22.9,18.9
70.6,84.42,40.8,10.5
292.9,238.11,43.2,21.4
112.9,159.66,38.6,11.9
265.6,183.62,0.3,17.4
95.7,85.94,7.4,9.5
290.7,135.7,8.5,12.8
266.9,248.55,5,25.4
74.7,143.47,45.7,14.7
43.1,107.03,35.1,10.1
228,236.23,32,21.5
202.5,165.12,31.6,16.6
177,170.47,38.7,17.1
293.6,209.28,1.8,20.7
206.9,139.25,26.4,12.9
25.1,79.73,43.3,8.5
89.7,85.26,35.7,10.6
239.9,277.31,18.5,23.2
227.2,166.5,49.9,14.8
199.8,134.72,34.6,11.4
100.4,97.13,3.6,10.7
182.6,265.46,58.7,21.2
262.7,245.78,15.9,20.2
198.9,235.87,60,23.7
7.3,49.54,41.4,5.5
210.8,276.31,37.7,23.8
210.7,216.23,9.3,18.4
53.5,117.69,21.4,8.1
261.3,261.1,54.7,24.2
102.7,175.62,8.4,14
131.1,209.16,28.9,18
69,89.42,0.9,9.3
31.5,110.24,2.2,9.5
237.4,232.95,11,18.9
216.8,267.98,27.2,22.3
199.1,201.65,38.7,18.3
109.8,142.23,31.7,12.4
26.8,66.31,19.3,8.8
129.4,104.15,31.3,11
16.9,115.18,89.4,8.7
27.5,70.29,20.7,6.9
120.5,134.78,14.2,14.2
5.4,61.5,9.4,5.3
76.4,143.1,22.3,11.8
239.8,146.73,36.9,12.3
75.3,116.09,32.5,11.3
68.4,145.6,35.6,13.6
193.2,167.75,65.7,15.2
76.3,150.24,16,12
110.7,177.37,63.2,16
109.8,176.71,51.4,16.7
134.3,122.52,9.3,11.2
28.6,49.49,33,7.3
217.7,183.5,59,19.4
107.4,139.82,10.9,11.5
163.3,217.55,52.9,16.9
197.6,134.8,5.9,11.7
289.7,272.43,51.2,25.4
135.2,167.61,45.9,17.2
222.4,128.85,49.8,11.7
280.2,194.38,21.4,14.8
187.9,179.42,17.9,14.7
238.2,230.29,5.3,20.7
25,102.8,29.7,7.2
90.4,78.16,23.2,8.7
255.4,218.7,5.5,19.8
225.8,177.04,56.5,13.4
175.7,160.2,2.4,14.1
209.6,172.22,10.7,15.9
78.2,145.49,34.5,14.6
139.2,137.34,25.6,12.2
125.7,204.84,79.2,15.9
19.4,40.22,22.3,6.6
141.3,189.08,46.2,15.5
18.8,97.99,50.4,7
123.1,192.49,12.4,15.2
229.5,232.45,74.2,19.7
7.8,92.85,50.6,6.6
80.2,98.02,9.2,8.8
220.3,275.72,3.2,24.7
0.7,12.76,8.7,1.6
265.2,110.63,43,12.7
8.4,86.94,2.1,5.7
36.9,123.38,65.6,10.8
48.3,107.94,8.5,11.6
25.6,104.81,9.3,9.5
273.7,227.81,59.7,20.8
184.9,218.32,1.7,20.7
73.4,109.82,12.9,10.9
193.7,213.72,75.6,19.2
104.6,122.49,34.4,10.4
96.2,132.77,38.9,11.4
140.3,110.56,9,10.3
240.1,114.28,8.7,13.2
38,102.19,11.9,10.9
44.7,89.96,20.6,10.1
121,133.13,48.7,11.6
197.6,206.25,14.2,16.6
171.3,228.55,37.7,19
187.8,191.06,9.5,15.6
93.9,189.03,50.5,15.3
149.8,95.07,24.3,10.1
11.7,102.68,45.2,7.3
172.5,169.74,30.7,14.4
85.7,119,49.3,13.3
163.5,166.34,7.4,18
117.2,99.1,5.4,11.9
17.9,104.74,21.6,8
206.8,117.8,19.4,12.2
215.4,162.52,57.6,17.1
50,100.57,18.4,8.4
164.5,149.31,47.4,14.5
19.6,55.4,17,7.6
222.4,104.21,13.1,11.5
276.9,298.79,41.8,27
170.2,106.96,35.2,11.7
165.6,123.73,17.6,12.6
156.6,129.36,8.3,10.5
218.5,131.23,27.4,12.2
287.6,276.54,71.8,26.2
253.8,191.88,30,17.6
205,217.4,19.6,22.6
191.1,182.87,18.2,17.3
286,169.72,3.7,15.9
18.7,53.27,23.4,6.7
75.5,83.27,6,9.9
166.8,241.79,3.6,19.6
149.7,190.96,6,17.3
38.2,64.55,13.8,7.6
94.2,113.62,8.1,9.7
283.6,301.27,66.2,25.5
